==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-t2dqlx7cm7.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-t2dqlx7cm7 ====
2021-06-16 00:12:34.648161 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 7
2021-06-16 00:12:34.648180 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 7
2021-06-16 00:12:36.241717 I | raft: 3b0281aae13188e7 is starting a new election at term 7
2021-06-16 00:12:36.241757 I | raft: 3b0281aae13188e7 became candidate at term 8
2021-06-16 00:12:36.241770 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 8
2021-06-16 00:12:36.241789 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 8
2021-06-16 00:12:37.544057 I | raft: 3b0281aae13188e7 is starting a new election at term 8
2021-06-16 00:12:37.544105 I | raft: 3b0281aae13188e7 became candidate at term 9
2021-06-16 00:12:37.544120 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 9
2021-06-16 00:12:37.544135 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 9
2021-06-16 00:12:38.941718 I | raft: 3b0281aae13188e7 is starting a new election at term 9
2021-06-16 00:12:38.941973 I | raft: 3b0281aae13188e7 became candidate at term 10
2021-06-16 00:12:38.942180 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 10
2021-06-16 00:12:38.942326 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 10
2021-06-16 00:12:39.185402 W | rafthttp: health check for peer 9a1d8025a2aec31a could not connect: dial tcp: lookup wcm-etcd-cluster-qtk9xcrlsj.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 00:12:39.941737 I | raft: 3b0281aae13188e7 is starting a new election at term 10
2021-06-16 00:12:39.941781 I | raft: 3b0281aae13188e7 became candidate at term 11
2021-06-16 00:12:39.941795 I | raft: 3b0281aae13188e7 received MsgVoteResp from 3b0281aae13188e7 at term 11
2021-06-16 00:12:39.941806 I | raft: 3b0281aae13188e7 [logterm: 2, index: 5] sent MsgVote request to 9a1d8025a2aec31a at term 11
