==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.11 wcm-etcd-cluster-5bk62j8jvc.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-5bk62j8jvc ====
2021-06-15 17:09:19.750722 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 9
2021-06-15 17:09:21.250601 I | raft: f73078f82c3758a0 is starting a new election at term 9
2021-06-15 17:09:21.250649 I | raft: f73078f82c3758a0 became candidate at term 10
2021-06-15 17:09:21.250663 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 10
2021-06-15 17:09:21.250690 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 10
2021-06-15 17:09:22.362772 W | rafthttp: health check for peer b97703c1d18e3625 could not connect: dial tcp: lookup wcm-etcd-cluster-rxj67mvz9s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-15 17:09:22.650489 I | raft: f73078f82c3758a0 is starting a new election at term 10
2021-06-15 17:09:22.650567 I | raft: f73078f82c3758a0 became candidate at term 11
2021-06-15 17:09:22.650582 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 11
2021-06-15 17:09:22.650597 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 11
2021-06-15 17:09:24.050433 I | raft: f73078f82c3758a0 is starting a new election at term 11
2021-06-15 17:09:24.055604 I | raft: f73078f82c3758a0 became candidate at term 12
2021-06-15 17:09:24.055843 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 12
2021-06-15 17:09:24.055998 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 12
WARNING: 2021/06/15 17:09:24 grpc: Server.processUnaryRPC failed to write status: connection error: desc = "transport is closing"
2021-06-15 17:09:25.050695 I | raft: f73078f82c3758a0 is starting a new election at term 12
2021-06-15 17:09:25.050731 I | raft: f73078f82c3758a0 became candidate at term 13
2021-06-15 17:09:25.050746 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 13
2021-06-15 17:09:25.050758 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 13
2021-06-15 17:09:26.286509 W | etcdserver: timed out waiting for read index response
2021-06-15 17:09:26.750506 I | raft: f73078f82c3758a0 is starting a new election at term 13
2021-06-15 17:09:26.750562 I | raft: f73078f82c3758a0 became candidate at term 14
2021-06-15 17:09:26.750577 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 14
2021-06-15 17:09:26.750621 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 14
2021-06-15 17:09:27.363064 W | rafthttp: health check for peer b97703c1d18e3625 could not connect: dial tcp: lookup wcm-etcd-cluster-rxj67mvz9s.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-15 17:09:28.050467 I | raft: f73078f82c3758a0 is starting a new election at term 14
2021-06-15 17:09:28.050511 I | raft: f73078f82c3758a0 became candidate at term 15
2021-06-15 17:09:28.050525 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 15
2021-06-15 17:09:28.050538 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 15
2021-06-15 17:09:29.350504 I | raft: f73078f82c3758a0 is starting a new election at term 15
2021-06-15 17:09:29.350560 I | raft: f73078f82c3758a0 became candidate at term 16
2021-06-15 17:09:29.350574 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 16
2021-06-15 17:09:29.350587 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 16
2021-06-15 17:09:30.850507 I | raft: f73078f82c3758a0 is starting a new election at term 16
2021-06-15 17:09:30.850792 I | raft: f73078f82c3758a0 became candidate at term 17
2021-06-15 17:09:30.850931 I | raft: f73078f82c3758a0 received MsgVoteResp from f73078f82c3758a0 at term 17
2021-06-15 17:09:30.851033 I | raft: f73078f82c3758a0 [logterm: 2, index: 5] sent MsgVote request to b97703c1d18e3625 at term 17
