==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-p9b8g5x6r9.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-p9b8g5x6r9 ====
2021-05-27 04:48:38.043792 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 15
2021-05-27 04:48:38.043801 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 15
2021-05-27 04:48:39.443728 I | raft: ca7bf658747b74e8 is starting a new election at term 15
2021-05-27 04:48:39.443778 I | raft: ca7bf658747b74e8 became candidate at term 16
2021-05-27 04:48:39.443792 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 16
2021-05-27 04:48:39.443806 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 16
2021-05-27 04:48:40.443725 I | raft: ca7bf658747b74e8 is starting a new election at term 16
2021-05-27 04:48:40.443776 I | raft: ca7bf658747b74e8 became candidate at term 17
2021-05-27 04:48:40.443791 I | raft: ca7bf658747b74e8 received MsgVoteResp from ca7bf658747b74e8 at term 17
2021-05-27 04:48:40.443805 I | raft: ca7bf658747b74e8 [logterm: 2, index: 5] sent MsgVote request to e27129b2eead44af at term 17
2021-05-27 04:48:41.452695 W | rafthttp: health check for peer e27129b2eead44af could not connect: dial tcp: lookup wcm-etcd-cluster-kgl4xpd2dd.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-27 04:48:41.543719 I | raft: ca7bf658747b74e8 is starting a new election at term 17
2021-05-27 04:48:41.543759 I | raft: ca7bf658747b74e8 became candidate at term 18
