==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-wjgxlzslq6.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-wjgxlzslq6 ====
2021-06-14 14:49:36.901720 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 6
2021-06-14 14:49:38.709462 I | raft: 734c20f326580661 is starting a new election at term 6
2021-06-14 14:49:38.709604 I | raft: 734c20f326580661 became candidate at term 7
2021-06-14 14:49:38.709665 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 7
2021-06-14 14:49:38.709683 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 7
2021-06-14 14:49:39.247951 W | rafthttp: health check for peer 1c7dade43e0b3c2b could not connect: dial tcp: lookup wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:49:40.390154 I | raft: 734c20f326580661 is starting a new election at term 7
2021-06-14 14:49:40.390220 I | raft: 734c20f326580661 became candidate at term 8
2021-06-14 14:49:40.390235 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 8
2021-06-14 14:49:40.390247 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 8
2021-06-14 14:49:41.758386 I | raft: 734c20f326580661 is starting a new election at term 8
2021-06-14 14:49:41.888428 I | raft: 734c20f326580661 became candidate at term 9
2021-06-14 14:49:42.188078 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 9
2021-06-14 14:49:42.188259 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 9
2021-06-14 14:49:43.002067 I | raft: 734c20f326580661 is starting a new election at term 9
2021-06-14 14:49:43.002379 I | raft: 734c20f326580661 became candidate at term 10
2021-06-14 14:49:43.002429 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 10
2021-06-14 14:49:43.002565 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 10
2021-06-14 14:49:44.325424 W | rafthttp: health check for peer 1c7dade43e0b3c2b could not connect: dial tcp: lookup wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:49:44.328654 I | raft: 734c20f326580661 is starting a new election at term 10
2021-06-14 14:49:44.328686 I | raft: 734c20f326580661 became candidate at term 11
2021-06-14 14:49:44.328699 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 11
2021-06-14 14:49:44.328712 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 11
2021-06-14 14:49:45.302176 I | raft: 734c20f326580661 is starting a new election at term 11
2021-06-14 14:49:45.302233 I | raft: 734c20f326580661 became candidate at term 12
2021-06-14 14:49:45.302248 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 12
2021-06-14 14:49:45.302262 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 12
WARNING: 2021/06/14 14:49:46 grpc: Server.processUnaryRPC failed to write status: connection error: desc = "transport is closing"
2021-06-14 14:49:46.501602 I | raft: 734c20f326580661 is starting a new election at term 12
2021-06-14 14:49:46.501657 I | raft: 734c20f326580661 became candidate at term 13
2021-06-14 14:49:46.501672 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 13
2021-06-14 14:49:46.501684 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 13
2021-06-14 14:49:47.601641 I | raft: 734c20f326580661 is starting a new election at term 13
2021-06-14 14:49:47.601691 I | raft: 734c20f326580661 became candidate at term 14
2021-06-14 14:49:47.601706 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 14
2021-06-14 14:49:47.601719 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 14
2021-06-14 14:49:48.193115 I | rafthttp: peer 1c7dade43e0b3c2b became active
2021-06-14 14:49:48.193152 I | rafthttp: established a TCP streaming connection with peer 1c7dade43e0b3c2b (stream MsgApp v2 writer)
2021-06-14 14:49:48.193904 I | rafthttp: established a TCP streaming connection with peer 1c7dade43e0b3c2b (stream Message writer)
2021-06-14 14:49:48.293004 I | rafthttp: established a TCP streaming connection with peer 1c7dade43e0b3c2b (stream MsgApp v2 reader)
2021-06-14 14:49:48.312186 I | rafthttp: established a TCP streaming connection with peer 1c7dade43e0b3c2b (stream Message reader)
2021-06-14 14:49:48.312952 W | etcdserver: timed out waiting for read index response
2021-06-14 14:49:49.334380 W | rafthttp: health check for peer 1c7dade43e0b3c2b could not connect: dial tcp: lookup wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-14 14:49:49.423173 I | raft: 734c20f326580661 is starting a new election at term 14
2021-06-14 14:49:49.423215 I | raft: 734c20f326580661 became candidate at term 15
2021-06-14 14:49:49.423232 I | raft: 734c20f326580661 received MsgVoteResp from 734c20f326580661 at term 15
2021-06-14 14:49:49.423245 I | raft: 734c20f326580661 [logterm: 2, index: 5] sent MsgVote request to 1c7dade43e0b3c2b at term 15
2021-06-14 14:49:49.447296 I | raft: 734c20f326580661 received MsgVoteResp from 1c7dade43e0b3c2b at term 15
2021-06-14 14:49:49.447327 I | raft: 734c20f326580661 [quorum:2] has received 2 MsgVoteResp votes and 0 vote rejections
2021-06-14 14:49:49.447347 I | raft: 734c20f326580661 became leader at term 15
2021-06-14 14:49:49.447358 I | raft: raft.node: 734c20f326580661 elected leader 734c20f326580661 at term 15
2021-06-14 14:49:49.468434 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc:2380) of member 1c7dade43e0b3c2b (Get http://wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-bf7p57ndf5.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
