==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
nslookup: can't resolve 'wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-vwvg9kdb82.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-vwvg9kdb82 ====
2021-06-16 17:01:37.244410 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 9
2021-06-16 17:01:37.244423 I | raft: 1fdb57acab506fd2 [logterm: 2, index: 5] sent MsgVote request to b679316e0bfb7100 at term 9
2021-06-16 17:01:38.588207 I | raft: 1fdb57acab506fd2 is starting a new election at term 9
2021-06-16 17:01:38.588421 I | raft: 1fdb57acab506fd2 became candidate at term 10
2021-06-16 17:01:38.592963 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 10
2021-06-16 17:01:38.593134 I | raft: 1fdb57acab506fd2 [logterm: 2, index: 5] sent MsgVote request to b679316e0bfb7100 at term 10
2021-06-16 17:01:39.230481 W | rafthttp: health check for peer b679316e0bfb7100 could not connect: dial tcp: lookup wcm-etcd-cluster-hl6mrp5tfz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-16 17:01:40.384703 I | raft: 1fdb57acab506fd2 is starting a new election at term 10
2021-06-16 17:01:40.384738 I | raft: 1fdb57acab506fd2 became candidate at term 11
2021-06-16 17:01:40.384760 I | raft: 1fdb57acab506fd2 received MsgVoteResp from 1fdb57acab506fd2 at term 11
