==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-cxfqsmw5k8.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-cxfqsmw5k8 ====
2021-05-12 06:28:04.088556 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 18
2021-05-12 06:28:04.088568 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 18
2021-05-12 06:28:04.542675 W | rafthttp: health check for peer dab54abf8c2e7b39 could not connect: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 06:28:05.588454 I | raft: 154a89996a795b25 is starting a new election at term 18
2021-05-12 06:28:05.588563 I | raft: 154a89996a795b25 became candidate at term 19
2021-05-12 06:28:05.588576 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 19
2021-05-12 06:28:05.588591 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 19
2021-05-12 06:28:07.088514 I | raft: 154a89996a795b25 is starting a new election at term 19
2021-05-12 06:28:07.088568 I | raft: 154a89996a795b25 became candidate at term 20
2021-05-12 06:28:07.088581 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 20
2021-05-12 06:28:07.088592 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 20
2021-05-12 06:28:08.488559 I | raft: 154a89996a795b25 is starting a new election at term 20
2021-05-12 06:28:08.488609 I | raft: 154a89996a795b25 became candidate at term 21
2021-05-12 06:28:08.488620 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 21
2021-05-12 06:28:08.488632 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 21
2021-05-12 06:28:09.488526 I | raft: 154a89996a795b25 is starting a new election at term 21
2021-05-12 06:28:09.488569 I | raft: 154a89996a795b25 became candidate at term 22
2021-05-12 06:28:09.488581 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 22
2021-05-12 06:28:09.488593 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 22
2021-05-12 06:28:09.543101 W | rafthttp: health check for peer dab54abf8c2e7b39 could not connect: dial tcp: lookup wcm-etcd-cluster-m2msqh99fc.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-12 06:28:10.988488 I | raft: 154a89996a795b25 is starting a new election at term 22
2021-05-12 06:28:10.988552 I | raft: 154a89996a795b25 became candidate at term 23
2021-05-12 06:28:10.988568 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 23
2021-05-12 06:28:10.988579 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 23
2021-05-12 06:28:11.475221 I | rafthttp: peer dab54abf8c2e7b39 became active
2021-05-12 06:28:11.475270 I | rafthttp: established a TCP streaming connection with peer dab54abf8c2e7b39 (stream Message writer)
2021-05-12 06:28:11.475282 I | rafthttp: established a TCP streaming connection with peer dab54abf8c2e7b39 (stream MsgApp v2 writer)
2021-05-12 06:28:11.519441 I | rafthttp: established a TCP streaming connection with peer dab54abf8c2e7b39 (stream MsgApp v2 reader)
2021-05-12 06:28:11.519837 I | rafthttp: established a TCP streaming connection with peer dab54abf8c2e7b39 (stream Message reader)
2021-05-12 06:28:12.788448 I | raft: 154a89996a795b25 is starting a new election at term 23
2021-05-12 06:28:12.788502 I | raft: 154a89996a795b25 became candidate at term 24
2021-05-12 06:28:12.788520 I | raft: 154a89996a795b25 received MsgVoteResp from 154a89996a795b25 at term 24
2021-05-12 06:28:12.788532 I | raft: 154a89996a795b25 [logterm: 2, index: 5] sent MsgVote request to dab54abf8c2e7b39 at term 24
2021-05-12 06:28:12.790936 I | raft: 154a89996a795b25 received MsgVoteResp from dab54abf8c2e7b39 at term 24
