==== START logs for container etcd of pod kube-system/etcd-kind-1-control-plane ====
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2021-05-27 11:34:19.368321 I | mvcc: finished scheduled compaction at 100249 (took 14.377225ms)
2021-05-27 11:37:29.797397 I | etcdserver: start to snapshot (applied: 110011, lastsnap: 100010)
2021-05-27 11:37:29.802412 I | etcdserver: saved snapshot at index 110011
2021-05-27 11:37:29.802624 I | etcdserver: compacted raft log at 105011
2021-05-27 11:37:48.485986 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-000000000000ea66.snap successfully
2021-05-27 11:39:19.359628 I | mvcc: store.index: compact 101480
2021-05-27 11:39:19.375111 I | mvcc: finished scheduled compaction at 101480 (took 14.961393ms)
2021-05-27 11:44:19.364843 I | mvcc: store.index: compact 102707
2021-05-27 11:44:19.380578 I | mvcc: finished scheduled compaction at 102707 (took 15.050646ms)
2021-05-27 11:49:19.372038 I | mvcc: store.index: compact 103938
2021-05-27 11:49:19.394763 I | mvcc: finished scheduled compaction at 103938 (took 21.590187ms)
2021-05-27 11:54:19.379780 I | mvcc: store.index: compact 105166
2021-05-27 11:54:19.395321 I | mvcc: finished scheduled compaction at 105166 (took 14.809148ms)
2021-05-27 11:59:19.386363 I | mvcc: store.index: compact 106396
2021-05-27 11:59:19.401833 I | mvcc: finished scheduled compaction at 106396 (took 14.8176ms)
2021-05-27 12:04:19.392470 I | mvcc: store.index: compact 107624
2021-05-27 12:04:19.408943 I | mvcc: finished scheduled compaction at 107624 (took 14.84899ms)
2021-05-27 12:09:19.400576 I | mvcc: store.index: compact 108855
2021-05-27 12:09:19.416472 I | mvcc: finished scheduled compaction at 108855 (took 15.294976ms)
2021-05-27 12:14:19.406297 I | mvcc: store.index: compact 110083
2021-05-27 12:14:19.420831 I | mvcc: finished scheduled compaction at 110083 (took 13.842369ms)
2021-05-27 12:15:17.606358 I | etcdserver: start to snapshot (applied: 120012, lastsnap: 110011)
2021-05-27 12:15:17.611985 I | etcdserver: saved snapshot at index 120012
2021-05-27 12:15:17.612137 I | etcdserver: compacted raft log at 115012
2021-05-27 12:15:18.508364 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-0000000000011177.snap successfully
2021-05-27 12:19:19.411395 I | mvcc: store.index: compact 111314
2021-05-27 12:19:19.426259 I | mvcc: finished scheduled compaction at 111314 (took 14.264074ms)
2021-05-27 12:24:19.417362 I | mvcc: store.index: compact 112541
2021-05-27 12:24:19.445020 I | mvcc: finished scheduled compaction at 112541 (took 26.919438ms)
2021-05-27 12:29:19.430690 I | mvcc: store.index: compact 113770
2021-05-27 12:29:19.445280 I | mvcc: finished scheduled compaction at 113770 (took 13.94714ms)
2021-05-27 12:34:19.435747 I | mvcc: store.index: compact 114998
2021-05-27 12:34:19.450704 I | mvcc: finished scheduled compaction at 114998 (took 14.364605ms)
2021-05-27 12:39:19.440334 I | mvcc: store.index: compact 116228
2021-05-27 12:39:19.455349 I | mvcc: finished scheduled compaction at 116228 (took 14.350784ms)
2021-05-27 12:44:19.445327 I | mvcc: store.index: compact 117456
2021-05-27 12:44:19.460145 I | mvcc: finished scheduled compaction at 117456 (took 14.25936ms)
2021-05-27 12:49:19.450316 I | mvcc: store.index: compact 118685
2021-05-27 12:49:19.464942 I | mvcc: finished scheduled compaction at 118685 (took 13.994708ms)
2021-05-27 12:53:06.226087 I | etcdserver: start to snapshot (applied: 130013, lastsnap: 120012)
2021-05-27 12:53:06.231145 I | etcdserver: saved snapshot at index 130013
2021-05-27 12:53:06.231322 I | etcdserver: compacted raft log at 125013
2021-05-27 12:53:18.529148 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000002-0000000000013888.snap successfully
2021-05-27 12:54:19.455612 I | mvcc: store.index: compact 119912
2021-05-27 12:54:19.476844 I | mvcc: finished scheduled compaction at 119912 (took 19.330513ms)
2021-05-27 12:59:19.462002 I | mvcc: store.index: compact 121143
2021-05-27 12:59:19.477441 I | mvcc: finished scheduled compaction at 121143 (took 14.83686ms)
2021-05-27 13:04:19.466372 I | mvcc: store.index: compact 122371
2021-05-27 13:04:19.481526 I | mvcc: finished scheduled compaction at 122371 (took 14.638587ms)
2021-05-27 13:09:19.471262 I | mvcc: store.index: compact 123601
2021-05-27 13:09:19.485828 I | mvcc: finished scheduled compaction at 123601 (took 14.0907ms)
2021-05-27 13:14:19.475583 I | mvcc: store.index: compact 124830
2021-05-27 13:14:19.499478 I | mvcc: finished scheduled compaction at 124830 (took 23.238935ms)
2021-05-27 13:19:19.485384 I | mvcc: store.index: compact 126059
