==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.7 wcm-etcd-cluster-xspddnbbcf.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-xspddnbbcf ====
2021-06-01 17:44:25.745568 I | raft: 7ef515033cdbaf0c became candidate at term 10
2021-06-01 17:44:25.745583 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 10
2021-06-01 17:44:25.745597 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 10
2021-06-01 17:44:27.045652 I | raft: 7ef515033cdbaf0c is starting a new election at term 10
2021-06-01 17:44:27.045704 I | raft: 7ef515033cdbaf0c became candidate at term 11
2021-06-01 17:44:27.045717 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 11
2021-06-01 17:44:27.045730 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 11
2021-06-01 17:44:27.745486 W | rafthttp: health check for peer 884520eb65bfd47c could not connect: dial tcp: lookup wcm-etcd-cluster-ffb5sphj52.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-06-01 17:44:28.145533 I | raft: 7ef515033cdbaf0c is starting a new election at term 11
2021-06-01 17:44:28.145580 I | raft: 7ef515033cdbaf0c became candidate at term 12
2021-06-01 17:44:28.145593 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 12
2021-06-01 17:44:28.145606 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 12
2021-06-01 17:44:29.845520 I | raft: 7ef515033cdbaf0c is starting a new election at term 12
2021-06-01 17:44:29.845568 I | raft: 7ef515033cdbaf0c became candidate at term 13
2021-06-01 17:44:29.845579 I | raft: 7ef515033cdbaf0c received MsgVoteResp from 7ef515033cdbaf0c at term 13
2021-06-01 17:44:29.845591 I | raft: 7ef515033cdbaf0c [logterm: 2, index: 5] sent MsgVote request to 884520eb65bfd47c at term 13
2021-06-01 17:44:31.345539 I | raft: 7ef515033cdbaf0c is starting a new election at term 13
2021-06-01 17:44:31.345588 I | raft: 7ef515033cdbaf0c became candidate at term 14
