==== START logs for container check-dns of pod wcm-system/wcm-etcd-cluster-jb88gxnntd ====
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

nslookup: can't resolve 'wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc'
Server:    10.96.0.10
Address 1: 10.96.0.10 kube-dns.kube-system.svc.cluster.local

Name:      wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc
Address 1: 10.244.0.6 wcm-etcd-cluster-jb88gxnntd.wcm-etcd-cluster.wcm-system.svc.cluster.local
==== END logs for container check-dns of pod wcm-system/wcm-etcd-cluster-jb88gxnntd ====
==== START logs for container etcd of pod wcm-system/wcm-etcd-cluster-jb88gxnntd ====
2021-05-21 20:11:45.307392 I | rafthttp: started streaming with peer 9a2f53ca8808110a (stream MsgApp v2 reader)
2021-05-21 20:11:45.555977 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:45.556084 W | etcdserver: cannot get the version of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:49.560026 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:49.560065 W | etcdserver: cannot get the version of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:50.307282 W | rafthttp: health check for peer 9a2f53ca8808110a could not connect: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:11:53.563524 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:53.563556 W | etcdserver: cannot get the version of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:55.307496 W | rafthttp: health check for peer 9a2f53ca8808110a could not connect: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:11:57.567367 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:11:57.567416 W | etcdserver: cannot get the version of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:12:00.307731 W | rafthttp: health check for peer 9a2f53ca8808110a could not connect: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:12:01.571517 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:12:01.571554 W | etcdserver: cannot get the version of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:12:05.307934 W | rafthttp: health check for peer 9a2f53ca8808110a could not connect: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host
2021-05-21 20:12:05.575168 W | etcdserver: failed to reach the peerURL(http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380) of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
2021-05-21 20:12:05.575209 W | etcdserver: cannot get the version of member 9a2f53ca8808110a (Get http://wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc:2380/version: dial tcp: lookup wcm-etcd-cluster-wxcb7gt5qz.wcm-etcd-cluster.wcm-system.svc on 10.96.0.10:53: no such host)
